iterations,root_rewards_1,root_rewards_2
0,0.8479704864724488,1.2908424293261662
1,1.6094863997281703,1.9720807770750275
2,2.0367403819242167,2.4587686062707568
3,2.1385063380064238,2.7623905026197497
4,2.4116270084548477,2.977311970225081
5,2.6606865707265395,3.2189996964385212
6,2.8599196996649,3.390656650420263
7,3.0019858762867013,3.5207187111275493
8,3.1475723240962905,3.644455107367735
9,3.255971975454873,3.7158683476038044
10,3.353761869119056,3.7986996537800715
11,3.458339116235575,3.899800989351262
12,3.5389141963618473,3.969888183862034
13,3.5508004948052694,4.003556838038596
14,3.6245152016474704,4.047529768641063
15,3.678623947402487,4.089650252248232
16,3.743775112895243,4.147377159354343
17,3.8157594782262896,4.190234656339772
18,3.862620949686231,4.254672842206832
19,3.926792118796701,4.306001319285988
20,3.9688308937268046,4.356347418854837
21,4.009173476210272,4.387449028427571
22,4.064835524115882,4.442771677615802
23,4.1175619910384995,4.462306749766177
24,4.160049312461772,4.485226439676567
25,4.208100226988823,4.536937291894058
26,4.2399932862384695,4.574227676944292
27,4.277675678305575,4.599315938435647
28,4.307456790014911,4.635809134389533
29,4.349056915383719,4.68158173455577
30,4.376664272922986,4.715225529539243
31,4.403676157247047,4.763381332781898
32,4.441531369108162,4.793226852550383
33,4.466867997596097,4.83239610927396
34,4.502445820454726,4.874108371681186
35,4.512985214215212,4.9008670382575135
36,4.546986492366073,4.934206289098327
37,4.574845002596001,4.963736462830506
38,4.60194840490457,4.996311943599799
39,4.633100062952714,5.021678948584236
40,4.654065525375062,5.035294520003806
41,4.683658402273295,5.06075457115206
42,4.712400652993938,5.083356453223677
43,4.740339815559082,5.108359122620266
44,4.767519551020757,5.135012938396724
45,4.793980053909898,5.157170841588508
46,4.8158076031357195,5.182741329723199
47,4.833302508858664,5.2074996806720195
48,4.858099088391719,5.23101342319259
49,4.878584789852174,5.245555395978114
50,4.902296477570568,5.271005292023844
51,4.903279337457061,5.292600837985699
52,4.926419286441817,5.31135896372384
53,4.9490358661023235,5.321438019425326
54,4.967757417331381,5.3417493987957405
55,4.989467999340655,5.358596709865239
56,5.00745432772523,5.370714884051204
57,5.0283287055874935,5.387085119536539
58,5.048776238734328,5.397029457580854
59,5.0657355782426,5.412977907862839
60,5.082412088486059,5.4360302163162775
61,5.101793485729169,5.453740602048523
62,5.114965452576677,5.4645359697651905
63,5.1337318670092715,5.48239805980324
64,5.14649242003803,5.493232588271699
65,5.164681679935377,5.504927430722596
66,5.1797989340636885,5.519957720309341
67,5.19739756280599,5.526396116119713
68,5.214691828468107,5.54914891814221
69,5.226465819464221,5.561813208693256
70,5.238102795247835,5.580549346887631
71,5.24602081955905,5.599752933457126
72,5.262501023535691,5.619990093508277
73,5.273728427453567,5.626700178284088
74,5.289761863313948,5.637220754267521
75,5.300688976522422,5.654545793868748
76,5.3114979773921975,5.666895704663855
77,5.326941696108739,5.680754175997093
78,5.342150529286223,5.69408646409162
79,5.357131514827692,5.707702379367503
80,5.371891378983218,5.720039510822902
81,5.3841967545161955,5.726553716141469
82,5.398565314752732,5.745727857506902
83,5.412730340511308,5.758572300743469
84,5.426697517584939,5.768270524279611
85,5.440472296793548,5.777972865759906
86,5.454059906755668,5.794751020071056
87,5.465400076064229,5.810977561965511
88,5.476613086587574,5.8273610405904614
89,5.482856143173143,5.8427865315488665
90,5.495883548265536,5.854500846071581
91,5.508743420257166,5.859297250354891
92,5.521440013463812,5.873084900196231
93,5.527410208180865,5.884204650583852
94,5.539873452239518,5.893701725414134
95,5.552183274023466,5.903437453295408
96,5.564343404896256,5.915544833782965
97,5.57006359064046,5.923800293761641
98,5.582009508806224,5.9373884295574
99,5.591994473518668,5.948064269503755
100,5.601880723561261,5.962565187960238
101,5.613454696305481,5.971655978908205
102,5.624896243433732,5.980887036092652
103,5.632723913607025,5.986895803923496
104,5.643948322497795,5.997206887299425
105,5.655048141191395,6.006004190999404
106,5.663769620782076,6.013993578026432
107,5.66901359929865,6.022110677277753
108,5.679840137785058,6.030375735481166
109,5.685522928009615,6.037620412827975
110,5.694530418646543,6.0448436526146425
111,5.701514133567557,6.053809943436975
112,5.711996268369263,6.0649109749973595
113,5.720769458608928,6.0754231160611285
114,5.731052711597455,6.081262500451547
115,5.737786808143558,6.089339916434393
116,5.747897422164332,6.0909806487862355
117,5.754822267399529,6.095277962736709
118,5.764762947262327,6.100813292798111
119,5.774605781859653,6.111054722420012
120,5.784352678597554,6.122590130093305
121,5.794005489645276,6.135664493898748
122,5.80033002066831,6.142409828404009
123,5.8083644554355685,6.150933083902898
124,5.814599102105633,6.158519363757709
125,5.823965663992282,6.163409075194059
126,5.829372495092113,6.166924622775099
127,5.838602330144156,6.175531440327327
128,5.847747753850145,6.183153689136157
129,5.856810296194108,6.18917798302755
130,5.8627587833591885,6.199419549335442
131,5.8686643316451255,6.210656552900633
132,5.8775401153277596,6.219128973841934
133,5.886337812049263,6.227394215531179
134,5.893712540899848,6.236146074931614
135,5.899700612807214,6.24376668227481
136,5.908306319805594,6.249323765203335
137,5.916838600050869,6.25615587943899
138,5.921727833054287,6.264366810373371
139,5.930146839735844,6.269407867412821
140,5.937206576697343,6.272070333682023
141,5.944216822960082,6.281793814251521
142,5.951178267583203,6.2895819318225366
143,5.955940768852334,6.2918927747070095
144,5.962821352938689,6.297965271587826
145,5.966858568629736,6.302338162287908
146,5.9724254458135,6.309500484967475
147,5.9779615043601035,6.316749345832022
148,5.983226131551974,6.324423508030834
149,5.9862426386487835,6.33307955531162
150,5.9941377153712185,6.340139530585101
151,5.99931808437027,6.3466551584707345
152,6.003857257841137,6.354691751895339
153,6.008987648239714,6.359679839214904
154,6.014091852023064,6.367934091260788
155,6.0217709208725,6.376670985593492
156,6.026209536005846,6.3795787290745345
157,6.032624720356912,6.388052072723344
158,6.038999012310638,6.395346684128269
159,6.046489885360593,6.405225168462647
160,6.050785870966425,6.411319637893478
161,6.055681636011709,6.417351297192531
162,6.057129254076232,6.42136550102705
163,6.063349724139343,6.428168585566572
164,6.070661049211175,6.432139686254034
165,6.076798168127087,6.434907969679779
166,6.0809661700292486,6.44389032361521
167,6.084382378760601,6.45140216105704
168,6.088552167916555,6.4570372133242335
169,6.093266912956976,6.459630237280369
170,6.10036350611337,6.462568548365549
171,6.107410092306023,6.470239103800193
172,6.1133264254803334,6.477718503486732
173,6.116634034087567,6.483764032415596
174,6.119930738477078,6.489172179951402
175,6.123955194808173,6.493235770584148
176,6.127931589699751,6.493235770584148
177,6.134787223554245,6.498964756046184
178,6.1392894234320226,6.505053932239016
179,6.13973962231838,6.509667262000854
180,6.142961148835142,6.513378377796686
181,6.1468941593682755,6.519428459423543
182,6.150132171567101,6.527023756587044
183,6.154006025771119,6.536048664085587
184,6.157864931119808,6.5411820194090335
185,6.159172025279358,6.547258207547261
186,6.1623705877858574,6.549275437512427
187,6.16619741112664,6.554185460541371
188,6.172796511705238,6.5614461524171235
189,6.1771311609212205,6.56837351310203
190,6.183658735299968,6.575043066945544
191,6.190143976634203,6.581132644030649
192,6.194404237709585,6.586040261031855
193,6.198110639886853,6.5913159065838265
194,6.20180335535984,6.59471967168985
195,6.204868628990475,6.600460847072547
196,6.209258996462053,6.605274745224662
197,6.215580838056263,6.610255565362688
198,6.219209717209609,6.619177388219868
199,6.223537706442034,6.625380248864349
