iterations,root_rewards_1,root_rewards_2
0,1.0800945781812117,1.2999224488683088
1,1.4954960305199858,2.103770731319644
2,2.002358956415119,2.9258024911532017
3,2.3371280750942356,3.162313127648985
4,2.586030093727997,3.2341227610026073
5,2.715247361977571,3.4357033295811865
6,2.893328765355662,3.649809141557608
7,3.0435123213038096,3.830326944971601
8,3.174871954034864,3.930316124149314
9,3.2902378760556994,4.045522388474305
10,3.3936604854176746,4.2263367588290315
11,3.487382307426796,4.322569095952596
12,3.573614340381561,4.352978491625923
13,3.6524926053801714,4.431207696663986
14,3.744233475538568,4.463793604073542
15,3.7871289849012464,4.495410468396121
16,3.851317450426327,4.562427080041206
17,3.919126575890834,4.591597736484137
18,3.9823857234186115,4.609819508511399
19,4.035485117440414,4.6505114729282875
20,4.085906565710611,4.707650537356829
21,4.116575336507555,4.73118021016975
22,4.163159496993648,4.776945737070125
23,4.196035028854994,4.7921079024181905
24,4.239136420528344,4.819205470338111
25,4.276405511677389,4.840815118360952
26,4.312335379860968,4.865703478427598
27,4.3554639415560095,4.888228650117321
28,4.392569827385876,4.923235396140488
29,4.4152298848020415,4.975954055412821
30,4.4373878211004,5.0056500062666265
31,4.471624409316914,5.023471776816591
32,4.508517886436215,5.038958591920953
33,4.5287220372653385,5.067784023478817
34,4.559812798874223,5.077379199047916
35,4.590163610836789,5.092229801431978
36,4.622999953715236,5.111164186655088
37,4.654792262616437,5.1445252419921745
38,4.685604887071551,5.182748398820435
39,4.709612250291442,5.2081506403266085
40,4.735795436292443,5.234310510211878
41,4.764244322842015,5.255711536292439
42,4.786456094474541,5.278535973361108
43,4.808185204661559,5.30316870851017
44,4.829800678213302,5.323276514613592
45,4.85572986762174,5.339290451853126
46,4.870049433510402,5.3637931797933325
47,4.892248470953843,5.383325393628595
48,4.9141083194374175,5.3921129463016175
49,4.9353606194700195,5.438167902609368
50,4.956307661288387,5.445943821334605
51,4.979190601756394,5.455378055988778
52,4.991857527071611,5.465347649582969
53,5.0095875169185025,5.47957775075683
54,5.031295959645093,5.502644957257762
55,5.050220232888915,5.5083558375183115
56,5.071073231862281,5.53542616597139
57,5.089386140433994,5.539349449560865
58,5.1033566108904,5.568022205180245
59,5.119230713360293,5.576243491903751
60,5.138706620165073,5.590553672410543
61,5.157810451004669,5.598568950488944
62,5.174504450647526,5.621174911160415
63,5.191032681973384,5.631015482742633
64,5.201937843865142,5.639270258728119
65,5.219881551629566,5.650486792924142
66,5.237508950168681,5.660251549957444
67,5.2530357486098715,5.66455539994139
68,5.266943193570962,5.689593145478702
69,5.283767013375044,5.708612057795341
70,5.297256391247546,5.739942602044464
71,5.310566225056109,5.763790244233175
72,5.326677669611725,5.778140198229663
73,5.340795990105163,5.791049378431064
74,5.353542352071685,5.803516757090534
75,5.368981261145526,5.8152953828726
76,5.377576796580608,5.823368326118868
77,5.390999169362175,5.8347865052822545
78,5.403125189031303,5.8360085322887265
79,5.415105928262036,5.841961562540435
80,5.426753037698058,5.848678169006529
81,5.43845564645022,5.8553676692487535
82,5.452646577774792,5.863161982767801
83,5.466638941146013,5.869779888343209
84,5.480438216929392,5.878890304239709
85,5.4901129481739,5.887211820805562
86,5.503594220235563,5.893848081733363
87,5.516896162514548,5.901673637951052
88,5.527421963586462,5.9065723191118655
89,5.534762636346754,5.9141317434332805
90,5.546319772413754,5.9227388186688215
91,5.559068883165866,5.931559771801814
92,5.5703500545367675,5.95016266778612
93,5.579878829003569,5.958588093606669
94,5.589765297774725,5.9636106292776505
95,5.601975671886909,5.970096294065064
96,5.608790766077512,5.973678529336012
97,5.620772401059123,5.981605384180941
98,5.627403241721499,5.991988215772889
99,5.636988460070351,5.999648941340499
100,5.648638892441653,6.005403752486537
101,5.653974468571602,6.0132082421867254
102,5.6599503177654915,6.018483435885179
103,5.671337782563031,6.02591583847538
104,5.6803640493334555,6.0337552833207955
105,5.691522689126192,6.041034386961945
106,5.69503958085625,6.052790333034403
107,5.701250930319518,6.064033401425927
108,5.709016197515901,6.0928723869820445
109,5.718670187877891,6.096961883123401
110,5.727422973990121,6.1030919582530325
111,5.736901722775677,6.107098762457757
112,5.744396045161072,6.113517482383153
113,5.754866180425821,6.119856193181393
114,5.76522782686993,6.13263713439025
115,5.772513603319197,6.140794863752597
116,5.78269491697127,6.146622681166943
117,5.7909070937044005,6.15159285668319
118,5.799052379537863,6.1591510842098165
119,5.806096690533703,6.163214618625032
120,5.814861424416557,6.168425915643814
121,5.822814678380701,6.174130860313716
122,5.831434726066274,6.179863969657769
123,5.841036264011273,6.184258456123763
124,5.848784837675147,6.1885463349448315
125,5.85724048227307,6.192365123508736
126,5.866598555865652,6.1985198762243
127,5.875869867217008,6.205875220643071
128,5.881011544977009,6.211039314969422
129,5.887503331386886,6.216961300986157
130,5.892585691072555,6.225082779483856
131,5.897686442611364,6.2296787608358715
132,5.904890917352146,6.234798018177165
133,5.911230004704716,6.257516813023513
134,5.918455220114211,6.267841736632495
135,5.925512131089296,6.280332132603317
136,5.930405404461678,6.290547956211794
137,5.939106106485362,6.296958008049309
138,5.94523262113146,6.305960125993069
139,5.952913808832857,6.311456888867049
140,5.958956565044899,6.316339482925761
141,5.967413397281959,6.319578049424557
142,5.974877242854008,6.328173673723088
143,5.9807891135283855,6.332267964725917
144,5.989064066032939,6.337566991652625
145,5.995750046834471,6.3495983884448375
146,6.000312175230056,6.353531270687898
147,6.008427789533378,6.360316621603071
148,6.016478070505595,6.3643519627025045
149,6.024464061660742,6.371219736712667
150,6.0309182478709955,6.381055389429253
151,6.035323069559109,6.3838987292865434
152,6.040889141268311,6.400059799191357
153,6.046424403233383,6.406416356989094
154,6.052636268548978,6.411794075888415
155,6.058809784691221,6.417789787898247
156,6.065046738883329,6.427581519423503
157,6.070450240745373,6.434643714904645
158,6.078018219375453,6.4376669764563355
159,6.084136876984186,6.447604577999482
160,6.090119526151982,6.456669419373903
161,6.095389583427596,6.461016221616505
162,6.101305486579445,6.469022904657718
163,6.107186597547509,6.475626945865059
164,6.109957214944121,6.480872044070936
165,6.11723309853885,6.484955818722118
166,6.123704413684636,6.492993878599781
167,6.127719699444583,6.504147853715171
168,6.132795773467606,6.513444088203307
169,6.138495090688824,6.522883764243154
170,6.1447889518727274,6.526298064443857
171,6.148665222023388,6.530290167798915
172,6.15436771823317,6.533438892311314
173,6.160037880278258,6.537418442896066
174,6.162971289061897,6.540015483979113
175,6.169154177401128,6.542897996675062
176,6.176013282179337,6.54785697112368
177,6.178599859641469,6.549809563309196
178,6.182401072458507,6.557798666176874
179,6.188465348171803,6.563454568726639
180,6.194453348805632,6.569128498219037
181,6.201141672340476,6.577444329063101
182,6.207785559245621,6.584137665967634
183,6.212471971267662,6.595364653585975
184,6.217822916363533,6.599090837775795
185,6.222462632891061,6.6018742315022285
186,6.226132761782582,6.606673517881613
187,6.23141129703658,6.61075600674111
188,6.236662115595683,6.613813851208663
189,6.241215438621662,6.619057004232742
190,6.246330651577304,6.622925030327665
191,6.248741806700599,6.625735781663975
192,6.255077828747142,6.639241909093567
193,6.260206151974049,6.652122561328433
194,6.265225381049144,6.658034592465458
195,6.270302058699736,6.66729557986296
196,6.275353093818434,6.670763596788378
197,6.281523242099856,6.676602700913548
198,6.284953318297081,6.684167740378111
199,6.290428130006368,6.687460924309135
