iterations,root_rewards_1,root_rewards_2
0,0.6391152051914777,2.0639944879458803
1,0.973317052239126,3.2506126426828104
2,1.513260175141802,3.369688583848816
3,1.8619563947029518,3.69266415934989
4,2.119997908411715,3.8181465962696906
5,2.324926034023586,3.9863020162959026
6,2.4949169881128013,4.091988610724013
7,2.6401660674074963,4.201431034328214
8,2.766968870561019,4.329461665701794
9,2.879487077853829,4.42081982522718
10,2.980615682051331,4.473319147863368
11,3.072450018305785,4.586914493558182
12,3.156555601480307,4.656062702562323
13,3.234132948263874,4.7325786996899355
14,3.306122905528718,4.824940120148449
15,3.3732765284299178,4.922305787143586
16,3.4362029273857675,4.972715432964157
17,3.4954029269544096,5.03617690616428
18,3.5987723397219247,5.068184315485642
19,3.5987723397219247,5.1080317110755455
20,3.685254618490812,5.123678422058486
21,3.7292550599699226,5.180629822187489
22,3.7292550599699226,5.20935444725271
23,3.7292550599699226,5.252628118766662
24,3.748296342133509,5.296883791631995
25,3.7919662701161485,5.324901264314649
26,3.8338086654526715,5.341242002505774
27,3.873970363787624,5.376591722731907
28,3.9459001942308003,5.425531601478766
29,4.013001497657194,5.4700533417875095
30,4.075881956540473,5.513056087471633
31,4.13504129570778,5.533612364854135
32,4.164911365771054,5.576994906517209
33,4.219165586757125,5.6148340515221
34,4.219165586757125,5.638638783544909
35,4.246658464084713,5.6760603774333775
36,4.296758848258151,5.699864734531613
37,4.344468485140762,5.72034751978422
38,4.390005189058796,5.742487991357453
39,4.433558300056587,5.7757345081262095
40,4.475293440498866,5.7937110246676955
41,4.515356318130065,5.810118550857705
42,4.553875796160501,5.833476249787631
43,4.573624817279294,5.856503520679063
44,4.61000313031774,5.880149063720133
45,4.645104383110291,5.901933176299696
46,4.679015205479485,5.939128135102674
47,4.711813700808923,5.962696612944131
48,4.74357052952999,5.998722420114687
49,4.7743498257911074,6.029865340781792
50,4.804209977211609,6.050443307637296
51,4.819618890963007,6.062661441298479
52,4.848176129015416,6.1005071393944315
53,4.875940442567783,6.126675660741181
54,4.902954677549604,6.13978558875736
55,4.929258298263521,6.1606518271609545
56,4.954887734143252,6.179640430506581
57,4.979876683173739,6.199543331727292
58,5.004256378314952,6.21173753823158
59,5.028055822213922,6.233605753385607
60,5.051301994629394,6.249792401781759
61,5.074020036289621,6.261392453523976
62,5.0962334123251365,6.27986159052079
63,5.107145170301693,6.297137033642836
64,5.118549779506477,6.310148846728231
65,5.139805907840257,6.325948882986013
66,5.16061960132285,6.3336632529220545
67,5.181008903119351,6.343145715582194
68,5.2009907746737385,6.3581018225646355
69,5.2205811804857065,6.372883042608083
70,5.239795164741663,6.390736472621867
71,5.2586469207214455,6.401188825628781
72,5.268456064432979,6.421653916430761
73,5.286780031473075,6.423489313744152
74,5.304774263734283,6.429910995643636
75,5.322450418726342,6.441045569316233
76,5.339819546469186,6.444492540456208
77,5.3568921309828434,6.452649976292134
78,5.373678128294658,6.464635824456449
79,5.39018700130885,6.475723925283738
80,5.406427751844206,6.4887935749158006
81,5.422408950111494,6.499294776535212
82,5.438138761872238,6.514679234191631
83,5.453624973494354,6.529190002777969
84,5.468875015097087,6.533162699908998
85,5.483895981957483,6.543075155568718
86,5.498694654332771,6.55742256138402
87,5.513277515837276,6.567230654225111
88,5.520481638355414,6.5703798579114725
89,5.528039644836457,6.581078120209125
90,5.542203762657199,6.5917123641806
91,5.556170056978563,6.604706047225483
92,5.569943977586861,6.614063285087089
93,5.583530752122812,6.626207941104313
94,5.596935397993415,6.638980800581318
95,5.610162733495943,6.652781124229559
96,5.623217388215791,6.6617011071349
97,5.630039982950269,6.670542226884929
98,5.642839346217868,6.680580269260454
99,5.655476953972625,6.6823840078767125
100,5.661729135830305,6.694475904541024
101,5.674131722793157,6.703033171613046
102,5.686382368137953,6.713936720119287
103,5.698484749667,6.727929313413465
104,5.710442413244002,6.736783437936335
105,5.7163612024748955,6.748646825416085
106,5.728108244219596,6.758184967560784
107,5.739718893630769,6.766216177556552
108,5.751196281633826,6.777065326276708
109,5.762543432569416,6.787728119625581
110,5.768481339063883,6.798647686517835
111,5.779635119606819,6.807839672919449
112,5.790665864381847,6.8165502846705275
113,5.801576258180476,6.825643161731601
114,5.807287504353451,6.833191636912889
115,5.818019009912512,6.847459928753436
116,5.828636571963489,6.858294235345571
117,5.8391425847350344,6.868637526480481
118,5.849539367776912,6.875831916676329
119,5.859829169033833,6.8829749171197445
120,5.865218092534383,6.892086319460862
121,5.875348629036754,6.901427972790445
122,5.885377566165274,6.912324497288326
123,5.895306921586186,6.914477501710428
124,5.895306921586186,6.921350651022726
125,5.905138653452804,6.935313662728499
126,5.914874662723266,6.951056135428397
127,5.924516795366534,6.961707991054373
128,5.934066844463056,6.972845467226042
129,5.934066844463056,6.981055230797565
130,5.943526552206073,6.987900273363152
131,5.9482176290771145,6.9976902866904505
132,5.957545035170893,7.004016383691102
133,5.966786244136696,7.009489528599216
134,5.9759428345404775,7.015741652572773
135,5.985016341977904,7.022310927675616
136,5.994008260619933,7.028483647689413
137,6.00292004468953,7.034618498865073
138,6.011753109873154,7.041388681185069
139,6.0205088346704585,7.047263482515263
140,6.0205088346704585,7.051648480160441
141,6.0291885616854035,7.057921088644917
142,6.033739827641742,7.064250366580096
143,6.038027100972053,7.070170308649239
144,6.04655673932847,7.077002652716291
145,6.055014237847445,7.080039058064466
146,6.063400806554749,7.081163195564166
147,6.067799333097623,7.089658635171542
148,6.076079801122146,7.096728048612268
149,6.084292265710871,7.103067464371325
150,6.09243783472956,7.110532092222701
151,6.10051758918968,7.116185048026413
152,6.10853258410937,7.119715210237795
153,6.1164838493401765,7.1226248382061685
154,6.124372390361183,7.12966417816452
155,6.132199189042058,7.137005093871901
156,6.139965204376477,7.140699519491148
157,6.1476713731872765,7.149913641162283
158,6.155318610804655,7.155348893581623
159,6.1629078117186324,7.163210195596113
160,6.170439850206937,7.165492057241129
161,6.177915580939424,7.170843517559821
162,6.185335839560071,7.179256696127547
163,6.192701443247531,7.181572807409802
164,6.200013191255203,7.184308144875714
165,6.207271865431692,7.191465767660931
166,6.210877363845397,7.1978305113492125
167,6.21805788627462,7.206476763141694
168,6.225187216172221,7.213205119709443
169,6.228929931332658,7.215855399065988
170,6.235982441859438,7.221665644691113
171,6.242985562600196,7.22938216017235
172,6.249939980514952,7.235521991006981
173,6.256846368330319,7.241091650013423
174,6.263705384930015,7.2440055028008885
175,6.270517675732077,7.252511597930058
176,6.277283873053314,7.259806545914132
177,6.280836934298496,7.264677527312027
178,6.287533900575466,7.267238286488865
179,6.294186315687369,7.270338630717236
180,6.300794768467079,7.277510405628173
181,6.307359836150155,7.282296114921146
182,6.313882084677415,7.288087597870515
183,6.320362068987696,7.29039818326865
184,6.326800333301193,7.298031281198222
185,6.33319741139374,7.304116693588987
186,6.339553826862358,7.308896571626129
187,6.342713287095762,7.312555456505076
188,6.346041689845237,7.318230445227718
189,6.352317237838152,7.325359332575292
190,6.352317237838152,7.330338420802099
191,6.358553648807086,7.338117637570935
192,6.364751407878865,7.343987777153988
193,6.370910991215691,7.347546070479576
194,6.377032866234669,7.350937668682927
195,6.380076281155178,7.355385319909371
196,6.383110461797943,7.359240024222189
197,6.389158330898122,7.363650983312571
198,6.395169843049564,7.365793586533979
199,6.401145432763295,7.368767763742067
